,DATASET,TYPE,MODEL_TYPE,ZETA,FLIP,PROP,ACCURACY
280,THYROID,FLOW3,SGDClassifier,1,1,6,0.09281767955801105
281,THYROID,FLOW3,SGDClassifier,1,1,6,0.1270718232044199
282,THYROID,FLOW3,SGDClassifier,1,1,6,0.8121546961325967
283,THYROID,FLOW3,SGDClassifier,1,1,6,0.5447513812154696
284,THYROID,FLOW3,SGDClassifier,1,1,6,0.9348066298342541
285,THYROID,FLOW3,SGDClassifier,1,1,6,0.9425414364640884
286,THYROID,FLOW3,SGDClassifier,1,1,6,0.943646408839779
287,THYROID,FLOW3,SGDClassifier,1,1,6,0.8861878453038674
288,THYROID,FLOW3,SGDClassifier,1,1,6,0.9270718232044199
289,THYROID,FLOW3,SGDClassifier,1,1,6,0.16574585635359115
290,THYROID,FLOW3,SGDClassifier,1,1,4,0.943646408839779
291,THYROID,FLOW3,SGDClassifier,1,1,4,0.487292817679558
292,THYROID,FLOW3,SGDClassifier,1,1,4,0.10276243093922652
293,THYROID,FLOW3,SGDClassifier,1,1,4,0.9469613259668508
294,THYROID,FLOW3,SGDClassifier,1,1,4,0.09281767955801105
295,THYROID,FLOW3,SGDClassifier,1,1,4,0.9502762430939227
296,THYROID,FLOW3,SGDClassifier,1,1,4,0.9480662983425414
297,THYROID,FLOW3,SGDClassifier,1,1,4,0.8961325966850828
298,THYROID,FLOW3,SGDClassifier,1,1,4,0.7613259668508288
299,THYROID,FLOW3,SGDClassifier,1,1,4,0.9215469613259668
300,THYROID,FLOW3,SGDClassifier,1,2,6,0.19889502762430938
301,THYROID,FLOW3,SGDClassifier,1,2,6,0.9480662983425414
302,THYROID,FLOW3,SGDClassifier,1,2,6,0.30386740331491713
303,THYROID,FLOW3,SGDClassifier,1,2,6,0.943646408839779
304,THYROID,FLOW3,SGDClassifier,1,2,6,0.6883977900552486
305,THYROID,FLOW3,SGDClassifier,1,2,6,0.6441988950276243
306,THYROID,FLOW3,SGDClassifier,1,2,6,0.09944751381215469
307,THYROID,FLOW3,SGDClassifier,1,2,6,0.09281767955801105
